C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data     19/10/2021  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	As	Se	Br	Rb	Sr	Y	Zr	Rh	In	Sn	Sb	Ba	La	Ce	Pr	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000000.spe	576.01	6.51	1	0.010265	-0.008803	0.010128	0.075074	16576	1.12	42	112	0	10	0	1469	870	155	0	749	56	94	165	23944	187	92	159	10	0	0	0	32	1017	687	257	223	0	0	0	12	24	0	34	15	25	179	317	12	90	145	72	102	103	433	23765	6773	0.132	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000001.spe	578.01	6.50	1	0.010265	-0.008803	0.010128	0.075074	60747	1.36	143	891	0	6	0	1212	7909	1126	0	6613	189	437	1243	163932	467	518	1070	248	0	0	0	0	2971	2026	663	837	24	27	58	24	227	11	173	183	86	721	1414	342	159	360	179	1148	725	1489	59355	16070	0.143	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000002.spe	580.01	6.50	1	0.010265	-0.008803	0.010128	0.075074	77065	1.49	164	1206	34	87	34	1196	10732	1473	11	9017	281	659	2161	223964	615	496	1279	419	0	82	0	64	3669	2460	655	904	0	96	30	50	345	108	252	199	121	973	1681	340	228	768	148	1599	937	1596	69403	18684	0.151	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000003.spe	582.01	6.49	1	0.010265	-0.008803	0.010128	0.075074	81884	1.58	180	1350	10	28	18	1106	11768	1499	25	9776	267	656	1865	249156	631	508	1172	438	28	120	109	130	4061	2578	606	958	17	24	99	7	391	53	246	233	130	868	1818	301	319	826	173	1650	1066	2238	69213	18927	0.152	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000004.spe	584.01	6.51	1	0.010265	-0.008803	0.010128	0.075074	79040	1.59	185	1175	47	32	13	1214	11188	1578	4	9238	355	656	1963	236507	659	549	1176	348	92	0	36	48	3965	2370	616	883	31	5	43	60	246	41	313	219	153	863	1695	443	319	420	6	1332	869	2023	68645	18505	0.151	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000005.spe	586.01	6.52	1	0.010265	-0.008803	0.010128	0.075074	76555	1.48	159	1252	44	85	8	1250	11021	1549	46	9037	210	672	1730	220400	647	464	1210	417	54	0	0	0	3982	2400	646	581	48	68	66	57	336	33	291	285	206	855	1796	290	123	483	0	1322	932	2219	69919	18600	0.151	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000006.spe	588.01	6.51	1	0.010265	-0.008803	0.010128	0.075074	79020	1.53	154	1266	0	33	51	1124	11800	1621	28	9419	339	712	2669	228217	553	601	1303	416	15	109	66	44	3806	2849	797	912	0	62	51	28	445	87	264	157	120	855	1927	275	432	676	215	1527	903	1766	69654	19464	0.152	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000007.spe	590.01	6.45	1	0.010265	-0.008803	0.010128	0.075074	87886	1.71	213	1605	62	41	42	973	13603	1786	34	10925	332	760	2570	271197	668	515	1315	643	109	193	51	115	4342	2878	813	1134	12	111	25	36	473	32	207	257	237	937	1961	295	352	1002	0	1703	1073	2311	71367	19945	0.155	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000008.spe	592.01	6.43	1	0.010265	-0.008803	0.010128	0.075074	92256	1.81	278	1695	40	78	41	909	14401	1942	33	11739	413	886	2422	291889	717	593	1407	602	49	143	99	0	4272	2851	728	1357	44	129	53	0	480	88	219	256	246	911	2041	382	314	710	0	1785	1223	2324	72249	20335	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000009.spe	594.01	6.41	1	0.010265	-0.008803	0.010128	0.075074	92650	1.76	219	1615	52	29	45	919	14337	1835	0	11619	319	743	3330	294278	638	477	1518	516	31	0	60	22	4363	2875	652	1148	0	100	30	37	456	30	284	337	173	1022	2172	563	178	928	0	1893	1129	2584	72926	20202	0.157	
