Exported at 17/08/2021 13:38:26
Core ID:,MAYLE21-Loma-Suarez-18-62cm
Comments:,
Depth,Depth In Core,Section,Section Depth,Time Stamp,Laser Profiler,Magnetic Susceptibility,Mag Sus in Air,Greyscale Reflectance,Munsell Colour,CIE XYZ Colour Space, , ,CIE L*a*b* Colour Space, , ,Reflectance (nm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,cm,,mm,x10^-5 SI,x10^-5 SI,,,X, Y, Z,L*, a*, b*,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740
4.0,4.0,1,4.000,05/08/2021 14:20:58,0.867,8.137,1153967.199,13.462,7.6 YR 4.20/0.80,12.74, 13.03, 12.26,42.80, 2.44, 4.82,11.18, 11.07, 11.11, 11.06, 11.00, 10.97, 10.96, 11.03, 11.11, 11.21, 11.27, 11.37, 11.38, 11.55, 11.72, 11.88, 12.07, 12.32, 12.55, 12.82, 13.07, 13.34, 13.62, 13.85, 14.08, 14.30, 14.52, 14.78, 15.05, 15.28, 15.46, 15.70, 15.96, 16.35, 16.68, 16.98, 17.29, 17.62, 17.91, 
4.5,4.5,1,4.500,05/08/2021 14:20:58,-4.044,7.804,1153967.794,11.444,8.0 YR 3.80/1.10,10.82, 10.97, 9.75,39.53, 2.97, 6.26,8.09, 8.11, 8.25, 8.30, 8.33, 8.40, 8.47, 8.60, 8.78, 8.92, 9.03, 9.10, 9.21, 9.30, 9.50, 9.73, 10.01, 10.21, 10.41, 10.69, 10.99, 11.26, 11.60, 11.94, 12.19, 12.42, 12.66, 12.92, 13.20, 13.49, 13.70, 13.92, 14.23, 14.61, 15.00, 15.30, 15.67, 15.96, 16.30, 
5.0,5.0,1,5.000,05/08/2021 14:20:58,-3.073,6.948,1153968.256,13.151,7.8 YR 4.10/0.90,12.45, 12.69, 11.70,42.30, 2.63, 5.42,9.88, 9.89, 10.02, 10.09, 10.15, 10.20, 10.28, 10.40, 10.57, 10.72, 10.82, 10.91, 10.96, 11.11, 11.28, 11.49, 11.72, 11.95, 12.17, 12.43, 12.69, 12.98, 13.33, 13.64, 13.86, 14.08, 14.34, 14.59, 14.85, 15.13, 15.33, 15.55, 15.83, 16.25, 16.57, 16.93, 17.23, 17.56, 17.95, 
5.5,5.5,1,5.500,05/08/2021 14:20:58,-3.876,6.613,1153967.929,12.305,8.4 YR 4.00/0.90,11.64, 11.88, 10.83,41.02, 2.49, 5.64,8.74, 8.80, 8.98, 9.08, 9.21, 9.30, 9.42, 9.57, 9.77, 9.91, 10.04, 10.10, 10.21, 10.36, 10.52, 10.73, 10.95, 11.16, 11.40, 11.65, 11.89, 12.17, 12.48, 12.75, 12.99, 13.20, 13.43, 13.68, 13.93, 14.19, 14.39, 14.58, 14.89, 15.22, 15.58, 15.87, 16.19, 16.50, 16.83, 
6.0,6.0,1,6.000,05/08/2021 14:20:58,-4.917,6.806,1153967.336,11.721,8.4 YR 3.90/1.10,11.08, 11.24, 9.86,39.98, 2.98, 6.71,8.27, 8.27, 8.36, 8.41, 8.46, 8.49, 8.59, 8.69, 8.85, 9.02, 9.11, 9.22, 9.26, 9.46, 9.66, 9.86, 10.12, 10.42, 10.72, 11.01, 11.31, 11.59, 11.90, 12.25, 12.49, 12.76, 12.99, 13.27, 13.53, 13.83, 14.02, 14.27, 14.60, 14.97, 15.37, 15.73, 16.02, 16.38, 16.74, 
6.5,6.5,1,6.500,05/08/2021 14:20:58,-5.504,6.351,1153966.999,10.948,8.6 YR 3.80/1.30,10.35, 10.43, 8.74,38.61, 3.35, 7.88,7.06, 7.07, 7.17, 7.24, 7.29, 7.37, 7.46, 7.61, 7.82, 7.98, 8.10, 8.20, 8.31, 8.47, 8.69, 8.96, 9.25, 9.54, 9.85, 10.19, 10.50, 10.81, 11.18, 11.52, 11.81, 12.08, 12.35, 12.64, 12.93, 13.22, 13.47, 13.70, 14.03, 14.45, 14.83, 15.16, 15.50, 15.84, 16.17, 
7.0,7.0,1,7.000,05/08/2021 14:21:07,-1.755,6.221,1153966.604,11.625,8.4 YR 3.80/1.20,10.99, 11.14, 9.66,39.82, 3.01, 7.03,7.67, 7.73, 7.89, 7.99, 8.08, 8.19, 8.30, 8.44, 8.68, 8.83, 8.96, 9.04, 9.18, 9.30, 9.52, 9.79, 10.09, 10.31, 10.57, 10.87, 11.18, 11.49, 11.84, 12.18, 12.45, 12.69, 12.95, 13.22, 13.50, 13.79, 13.98, 14.22, 14.53, 14.91, 15.30, 15.61, 15.95, 16.25, 16.59, 
7.5,7.5,1,7.500,05/08/2021 14:21:07,-3.555,5.750,1153966.408,13.991,7.8 YR 4.20/0.90,13.27, 13.56, 12.66,43.60, 2.49, 5.13,9.96, 10.13, 10.42, 10.57, 10.74, 10.90, 11.06, 11.24, 11.44, 11.61, 11.73, 11.82, 11.91, 12.00, 12.19, 12.40, 12.65, 12.82, 13.01, 13.28, 13.54, 13.81, 14.17, 14.52, 14.76, 14.98, 15.21, 15.44, 15.73, 15.94, 16.12, 16.25, 16.59, 16.88, 17.24, 17.49, 17.80, 18.11, 18.41, 
8.0,8.0,1,8.000,05/08/2021 14:21:07,-5.288,5.621,1153966.207,13.116,8.4 YR 4.10/1.00,12.41, 12.68, 11.57,42.28, 2.47, 5.74,9.26, 9.37, 9.58, 9.71, 9.84, 9.91, 10.10, 10.20, 10.43, 10.59, 10.74, 10.80, 10.91, 11.06, 11.23, 11.46, 11.69, 11.93, 12.20, 12.45, 12.70, 12.99, 13.32, 13.60, 13.84, 14.07, 14.30, 14.58, 14.82, 15.09, 15.24, 15.50, 15.74, 16.13, 16.43, 16.71, 17.01, 17.34, 17.67, 
8.5,8.5,1,8.500,05/08/2021 14:21:07,-5.212,6.350,1153965.879,10.886,8.9 YR 3.70/1.20,10.29, 10.42, 8.80,38.59, 2.98, 7.65,6.59, 6.69, 6.90, 7.02, 7.15, 7.26, 7.46, 7.62, 7.85, 8.03, 8.19, 8.28, 8.40, 8.58, 8.80, 9.03, 9.28, 9.59, 9.91, 10.20, 10.49, 10.81, 11.14, 11.44, 11.70, 11.94, 12.18, 12.49, 12.72, 13.03, 13.20, 13.43, 13.76, 14.12, 14.46, 14.80, 15.09, 15.42, 15.76, 
