Exported at 17/08/2021 13:41:16
Core ID:,MAYLE21-Loma-Suarez-42-82cm
Comments:,
Depth,Depth In Core,Section,Section Depth,Time Stamp,Laser Profiler,Magnetic Susceptibility,Mag Sus in Air,Greyscale Reflectance,Munsell Colour,CIE XYZ Colour Space, , ,CIE L*a*b* Colour Space, , ,Reflectance (nm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,cm,,mm,x10^-5 SI,x10^-5 SI,,,X, Y, Z,L*, a*, b*,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740
5.5,5.5,1,5.500,,,,1153977.913,, ,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10.5,10.5,1,10.500,04/08/2021 16:21:21,-5.901,13.092,1153977.982,10.082,9.0 YR 3.60/1.00,9.59, 9.77, 8.60,37.42, 2.49, 6.29,6.69, 6.73, 6.91, 7.05, 7.11, 7.23, 7.46, 7.60, 7.79, 7.93, 7.98, 7.98, 7.98, 8.16, 8.35, 8.58, 8.83, 9.10, 9.36, 9.61, 9.89, 10.16, 10.39, 10.65, 10.82, 10.98, 11.15, 11.31, 11.41, 11.59, 11.74, 11.84, 12.04, 12.26, 12.35, 12.53, 12.79, 12.87, 13.01, 
11.0,11.0,1,11.000,04/08/2021 16:21:21,-5.793,12.040,1153977.911,10.975,9.4 YR 3.80/0.80,10.43, 10.74, 9.97,39.14, 1.67, 4.91,7.92, 7.94, 8.15, 8.28, 8.36, 8.48, 8.74, 8.85, 9.05, 9.21, 9.26, 9.24, 9.26, 9.38, 9.56, 9.76, 10.03, 10.24, 10.44, 10.63, 10.84, 11.11, 11.25, 11.45, 11.58, 11.64, 11.84, 11.92, 12.00, 12.15, 12.19, 12.36, 12.49, 12.58, 12.74, 12.91, 12.95, 13.08, 13.29, 
11.5,11.5,1,11.500,04/08/2021 16:21:30,-5.028,12.561,1153978.048,10.284,9.4 YR 3.70/0.70,9.76, 10.08, 9.42,37.98, 1.48, 4.61,7.50, 7.51, 7.70, 7.85, 7.91, 8.03, 8.23, 8.38, 8.56, 8.68, 8.76, 8.73, 8.72, 8.89, 9.02, 9.18, 9.42, 9.62, 9.83, 10.02, 10.19, 10.39, 10.54, 10.69, 10.81, 10.85, 10.99, 11.13, 11.18, 11.31, 11.39, 11.52, 11.64, 11.75, 11.90, 12.02, 12.12, 12.27, 12.48, 
12.0,12.0,1,12.000,04/08/2021 16:21:30,-5.926,11.834,1153977.981,10.655,9.6 YR 3.80/0.70,10.11, 10.43, 9.69,38.61, 1.54, 4.84,7.73, 7.75, 7.94, 8.08, 8.14, 8.25, 8.47, 8.59, 8.80, 8.95, 9.01, 8.97, 9.02, 9.12, 9.29, 9.51, 9.74, 9.95, 10.16, 10.36, 10.55, 10.75, 10.95, 11.12, 11.19, 11.26, 11.42, 11.58, 11.59, 11.72, 11.89, 11.98, 12.01, 12.22, 12.44, 12.51, 12.52, 12.66, 12.95, 
12.5,12.5,1,12.500,04/08/2021 16:21:30,-6.040,10.452,1153977.980,10.666,9.5 YR 3.80/0.80,10.12, 10.43, 9.65,38.60, 1.67, 4.97,7.74, 7.73, 7.88, 8.04, 8.12, 8.22, 8.44, 8.56, 8.77, 8.91, 8.96, 8.93, 8.94, 9.07, 9.23, 9.45, 9.71, 9.92, 10.11, 10.36, 10.58, 10.75, 10.96, 11.12, 11.22, 11.34, 11.45, 11.56, 11.67, 11.85, 11.92, 11.99, 12.11, 12.38, 12.56, 12.60, 12.67, 12.84, 13.14, 
13.0,13.0,1,13.000,04/08/2021 16:21:30,-6.431,10.179,1153978.181,11.881,9.1 YR 3.90/0.70,11.29, 11.64, 11.06,40.64, 1.61, 4.35,8.93, 8.94, 9.13, 9.31, 9.39, 9.49, 9.74, 9.88, 10.06, 10.20, 10.25, 10.23, 10.22, 10.39, 10.53, 10.72, 10.92, 11.13, 11.35, 11.56, 11.75, 11.94, 12.13, 12.34, 12.45, 12.53, 12.69, 12.82, 12.88, 13.07, 13.15, 13.20, 13.43, 13.54, 13.64, 13.81, 13.98, 14.11, 14.24, 
13.5,13.5,1,13.500,04/08/2021 16:21:30,-7.780,9.922,1153978.113,11.422,8.5 YR 3.90/0.60,10.86, 11.20, 10.85,39.92, 1.57, 3.69,8.90, 8.92, 9.09, 9.22, 9.33, 9.42, 9.59, 9.73, 9.87, 10.01, 10.07, 10.03, 10.01, 10.13, 10.25, 10.42, 10.57, 10.74, 10.93, 11.10, 11.26, 11.43, 11.63, 11.81, 11.92, 12.03, 12.11, 12.25, 12.32, 12.45, 12.54, 12.67, 12.81, 12.95, 13.10, 13.21, 13.31, 13.51, 13.67, 
14.0,14.0,1,14.000,04/08/2021 16:21:30,-9.472,9.986,1153977.979,12.756,8.5 YR 4.10/0.50,12.12, 12.55, 12.39,42.08, 1.29, 3.22,10.28, 10.28, 10.45, 10.63, 10.71, 10.82, 10.98, 11.10, 11.30, 11.43, 11.50, 11.46, 11.45, 11.52, 11.65, 11.80, 12.01, 12.15, 12.30, 12.44, 12.62, 12.79, 12.95, 13.12, 13.21, 13.30, 13.38, 13.50, 13.59, 13.73, 13.79, 13.90, 14.02, 14.15, 14.32, 14.41, 14.54, 14.70, 14.88, 
14.5,14.5,1,14.500,04/08/2021 16:21:30,-8.186,10.113,1153978.181,12.268,8.2 YR 4.00/0.50,11.66, 12.07, 11.97,41.32, 1.35, 3.02,9.92, 9.95, 10.16, 10.30, 10.39, 10.46, 10.66, 10.76, 10.94, 11.05, 11.09, 11.05, 11.03, 11.09, 11.22, 11.39, 11.55, 11.69, 11.81, 11.94, 12.10, 12.27, 12.44, 12.60, 12.71, 12.81, 12.86, 12.97, 13.12, 13.18, 13.26, 13.44, 13.49, 13.61, 13.83, 13.93, 14.03, 14.18, 14.32, 
15.0,15.0,1,15.000,04/08/2021 16:21:38,-2.396,9.325,1153978.374,10.651,9.1 YR 3.80/0.60,10.11, 10.45, 10.09,38.64, 1.41, 3.72,8.10, 8.14, 8.33, 8.50, 8.59, 8.68, 8.91, 9.01, 9.19, 9.32, 9.36, 9.33, 9.31, 9.42, 9.54, 9.70, 9.87, 10.05, 10.23, 10.37, 10.53, 10.72, 10.82, 11.03, 11.08, 11.16, 11.31, 11.37, 11.48, 11.62, 11.60, 11.84, 11.94, 12.01, 12.15, 12.36, 12.40, 12.53, 12.78, 
